350.82,341.66,381.94,358.76,353.23,345.11,471.07,421.14,492.21,574.92,nan,653.95,705.02,261.33,272.75,290.02,281.21,292.58,298.47,291.49,323.73,317.54,352.19,1077.03,464.05,651.31,259.97,275.30,276.01,299.92,298.42,291.57,312.78,310.75,307.24,387.49,1197.44,471.60,588.29,260.94,280.36,294.69,302.08,305.82,293.27,316.37,322.73,319.43,388.47,1130.14,457.09,617.56
359.32,376.36,388.99,422.66,479.75,421.22,418.53,421.49,612.32,592.25,653.95,nan,1019.26,284.54,286.89,289.55,298.51,314.52,336.22,317.54,317.12,336.42,393.81,495.24,984.87,1089.51,272.84,307.34,287.69,326.65,310.79,331.97,304.53,326.90,338.90,413.75,479.76,1109.83,1009.94,277.91,291.89,301.14,322.25,320.17,314.97,316.93,336.94,345.30,413.47,472.40,923.72,948.05
463.52,430.31,485.42,548.58,417.72,465.76,522.86,547.93,571.44,663.01,705.02,1019.26,nan,293.45,319.22,307.19,340.40,309.23,375.08,350.19,367.15,375.51,459.81,661.68,942.78,1015.60,307.49,302.76,310.16,324.99,313.89,359.19,359.72,363.89,401.61,438.70,616.88,802.10,988.66,321.33,295.37,299.92,308.35,300.07,348.22,340.26,384.70,382.52,483.17,629.46,915.24,1046.05
394.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.01,261.33,284.54,293.45,nan,294.00,286.08,293.19,274.63,264.50,277.66,289.15,313.43,323.33,357.94,355.97,467.85,370.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.28,263.62,273.23,306.07,374.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184.56,254.03,295.86,313.38
0.00,377.64,214.40,241.08,0.00,0.00,0.00,0.00,0.00,224.04,272.75,286.89,319.22,294.00,nan,358.37,357.67,305.56,289.33,281.15,301.33,319.96,342.88,353.02,358.87,412.83,0.00,378.48,207.90,257.14,0.00,0.00,0.00,0.00,0.00,221.15,287.33,283.40,303.14,0.00,367.24,211.09,239.76,0.00,0.00,0.00,0.00,154.72,215.38,272.73,284.70,312.91
0.00,205.73,391.62,288.09,258.43,180.24,0.00,0.00,211.72,272.76,290.02,289.55,307.19,286.08,358.37,nan,577.93,412.24,344.93,311.72,289.50,336.62,333.25,363.18,367.12,494.21,0.00,210.66,403.08,272.58,251.45,184.21,0.00,0.00,210.35,260.02,291.04,288.93,302.53,0.00,212.93,400.44,274.63,250.72,186.23,0.00,0.00,210.91,260.74,279.20,303.30,315.10
0.00,246.40,282.25,419.79,271.47,259.67,252.54,242.37,249.20,275.37,281.21,298.51,340.40,293.19,357.67,577.93,nan,586.23,415.27,358.04,355.69,319.61,320.02,341.78,436.82,538.36,0.00,244.19,281.80,415.87,274.23,269.03,255.82,251.25,247.33,275.15,293.72,301.65,330.63,0.00,249.59,279.00,441.09,265.06,255.43,251.73,242.46,255.62,284.68,290.91,320.64,319.87
0.00,0.00,257.67,267.72,435.96,289.09,273.43,266.39,277.71,280.83,292.58,314.52,309.23,274.63,305.56,412.24,586.23,nan,617.05,469.68,388.50,394.44,339.48,377.55,455.20,438.55,0.00,0.00,257.37,266.93,454.74,281.43,286.15,264.70,287.88,278.88,309.06,308.71,291.85,0.00,0.00,256.80,267.17,448.52,292.27,268.18,280.29,282.44,281.87,299.06,317.51,310.33
0.00,0.00,180.89,247.91,273.92,423.01,307.57,301.97,308.24,294.66,298.47,336.22,375.08,264.50,289.33,344.93,415.27,617.05,nan,542.25,506.82,400.29,386.40,349.80,424.85,455.40,0.00,0.00,180.72,255.56,280.06,435.16,319.98,299.08,313.09,293.33,305.11,322.78,360.17,0.00,0.00,183.12,263.68,278.14,426.28,306.16,299.21,307.22,292.49,300.43,315.90,353.38
0.00,0.00,0.00,256.67,273.04,315.08,543.84,326.12,301.67,307.89,291.49,317.54,350.19,277.66,281.15,311.72,358.04,469.68,542.25,nan,476.68,446.65,492.17,432.91,401.17,529.17,0.00,0.00,0.00,244.99,275.56,307.71,519.45,325.76,304.13,308.84,306.51,333.47,341.83,0.00,0.00,0.00,256.10,278.51,310.59,519.06,325.78,318.98,305.13,294.22,309.34,357.04
0.00,0.00,0.00,244.81,276.88,301.95,324.76,579.31,348.26,325.79,323.73,317.12,367.15,289.15,301.33,289.50,355.69,388.50,506.82,476.68,nan,516.73,458.48,440.55,420.10,576.44,0.00,0.00,0.00,247.94,268.80,295.34,309.34,591.81,335.60,327.74,319.62,321.56,375.57,0.00,0.00,0.00,246.23,260.58,305.10,306.44,591.68,337.59,330.27,322.22,321.88,375.60
0.00,157.91,211.37,244.18,283.98,306.76,318.68,342.98,728.52,338.64,317.54,336.42,375.51,313.43,319.96,336.62,319.61,394.44,400.29,446.65,516.73,nan,495.14,470.44,591.03,622.63,0.00,0.00,210.66,254.44,276.70,303.61,318.72,344.23,702.01,341.82,314.61,345.20,375.55,0.00,152.21,209.89,249.55,285.50,308.59,311.82,339.53,667.76,340.76,319.79,343.04,374.19
172.17,222.96,266.63,275.12,275.03,300.89,320.78,325.48,342.83,746.78,352.19,393.81,459.81,323.33,342.88,333.25,320.02,339.48,386.40,492.17,458.48,495.14,nan,558.28,614.52,654.01,182.50,221.29,262.24,283.76,276.35,300.66,317.30,329.84,351.84,778.76,363.30,389.73,465.48,172.87,216.84,273.12,271.25,283.07,292.66,312.97,336.63,337.46,775.30,355.33,407.44,451.24
